TAG,FR,EN,DE,IT,ES,TR
"clients","clients","clients","Kunden","clienti","Clientes","müşteriler"
"prospects","prospects","prospects","Interessenten","potenziali clienti","Clientes potenciales","potansiyel müşteriler"
"The requested item was not found.","Nous n'avons pas trouvé l'élément recherché.","The requested item was not found.","Der angeforderte Artikel wurde nicht gefunden.","L'elemento richiesto non è stato trovato.","No se ha encontrado el elemento solicitado.","İstenen öğe bulunamadı."
"prospect","propect","prospect","Interessent","potenziale cliente","Cliente potencial","potansiyel müşteri"
"client","client","client","Kunde","cliente","Cliente","müşteri"
"Not reachable","Non atteignable","Not reachable","Nicht erreichbar","Non raggiungibile","No accesible","Erişilemez"
"The data has been successfully updated.","La donnée a bien été mise à jour","The data has been successfully updated.","Die Daten wurden erfolgreich aktualisiert.","I dati sono stati aggiornati correttamente.","Los datos se han actualizado correctamente.","Veriler başarıyla güncellendi."
"Share link has been copied to your clipboard","Le lien a été copié dans le presse -papiers.","Share link has been copied to your clipboard","Der Link zum Teilen wurde in Ihre Zwischenablage kopiert","Il link di condivisione è stato copiato negli appunti","El enlace para compartir se ha copiado en el portapapeles","Paylaşım bağlantısı panonuza kopyalandı"
"The software should be available again in a few minutes, we apologize for the inconvenience. If you have any questions, please do not hesitate to contact Thibault:","L'application sera à nouveau disponible dans quelques minutes, veuillez nous excuser pour la gène occasionée. Pour toute question, n'hésitez pas à contacter Thibault :","The software should be available again in a few minutes, we apologize for the inconvenience. If you have any questions, please do not hesitate to contact Thibault:","Die Software sollte in wenigen Minuten wieder verfügbar sein. Wir entschuldigen uns für die Unannehmlichkeiten. Bei Fragen wenden Sie sich bitte an Thibault:","Il software dovrebbe essere nuovamente disponibile tra pochi minuti, ci scusiamo per l'inconveniente. Per qualsiasi domanda, non esitare a contattare Thibault:","El software debería volver a estar disponible en unos minutos. Lamentamos las molestias. Si tiene alguna pregunta, no dude en ponerse en contacto con Thibault:","Yazılım birkaç dakika içinde tekrar kullanılabilir hale gelecektir, verdiğimiz rahatsızlık için özür dileriz. Herhangi bir sorunuz varsa, lütfen Thibault ile iletişime geçmekten çekinmeyin:"
"Seed market shares","Parts de marché semences","Seed market shares","Marktanteile bei Saatgut","Quote di mercato delle sementi","Cuotas de mercado de semillas","Tohum pazar payları"
"Soil texture","Texture de sol","Soil texture","Bodenbeschaffenheit","Struttura del suolo","Textura del suelo","Toprak dokusu"
"% of clay","% d'argile","% of clay","% Tonanteil","% di argilla","% de arcilla","Kil yüzdesi"
"% of  sand","% de sable","% of  sand","% Sandanteil","% di sabbia","% de arena","Kum yüzdesi"
"soil PH","PH du sol","soil PH","Boden-pH-Wert","PH del suolo","PH del suelo","Toprak PH"
"Loam","Limon","Loam","Lehm","Terriccio","Franco","Tınlı toprak"
"Sandy loam","Limon sableux","Sandy loam","Sandiger Lehm","Terriccio sabbioso","Franco arenoso","Kumlu tınlı toprak"
"Clay loam","Limon argileux","Clay loam","Toniger Lehm","Terriccio argilloso","Franco arcilloso","Killi tınlı toprak"
"Clay (light)","Argile (légère)","Clay (light)","Ton (leicht)","Argilla (leggera)","Arcilla (ligera)","Kil (hafif)"
"Silt loam","Limon argileux","Silt loam","Schluffiger Lehm","Terriccio limoso","Franco limoso","Siltli tınlı toprak"
"Loamy sand","Sable limoneux","Loamy sand","Lehmiger Sand","Sabbia terrosa","Arena franco","Tınlı kum"
"Advanced display","Affichage avancé","Advanced display","Erweiterte Anzeige","Visualizzazione avanzata","Pantalla avanzada","Gelişmiş ekran"
"SIRET","SIRET","Code","Code","Codice","Código","Kod"
Please enter a valid date range,Merci d'indiquer une plage de dates valide,Please enter a valid date range,Bitte geben Sie einen gültigen Datumsbereich an,Si prega di indicare un intervallo di date valido,"Por favor, indique un intervalo de fechas válido",Lütfen geçerli bir tarih aralığı belirtin
"Visited ha","Ha visités","Visited ha","Ha besucht","Ha visitato","Ha visitados","Ha ziyaret edildi"
"Collected t","T collectées","Collected t","T gesammelt","T raccolto","T recogidas","T toplandı"
Sold seed,Semences vendues,Sold seed,Verkauftes Saatgut,Semi venduti,Semillas vendidas,Satılan tohum
Sold ha,Ha vendus,Sold ha,Verkauftes ha,Ha venduti,Ha vendidas,Satılan hektar
Please zoom in to see farms on the map,Merci de zoomer pour voir les exploitations,Please zoom in to see farms on the map,"Bitte zoomen Sie heran, um die Höfe auf der Karte zu sehen",Ingrandisci la mappa per vedere le fattorie,Amplíe el mapa para ver las granjas,Haritada çiftlikleri görmek için lütfen yakınlaştırın
"Organization - Public","Organisation - Publique","Organization - Public","Organisation – öffentlich","Organizzazione - Pubblica","Organización - Pública","Organizasyon - Kamu"
"Organization - Private","Organisation - Privé","Organization - Private","Organisation – privat","Organizzazione - Privata","Organización - Privada","Organizasyon - Özel"
"All reachable farms","Toutes les exploitations (sauf non atteignables)","All reachable farms","Alle erreichbaren landwirtschaftlichen Betriebe","Tutte le aziende agricole raggiungibili","Todas las explotaciones agrícolas accesibles","Ulaşılabilir tüm çiftlikler"
"Soil texture","Texture du sol","Soil texture","Bodenbeschaffenheit","Struttura del suolo","Textura del suelo","Toprak dokusu"
"Welcome to Hyperplan","Bienvenue sur Hyperplan","Welcome to Hyperplan","Willkommen bei Hyperplan","Benvenuto su Hyperplan","Bienvenido en Hyperplan","Hyperplan'a hoş geldiniz"
"Need help ?"," Besoin d'aide ?","Need help ?","Benötigen Sie Hilfe?","Hai bisogno di aiuto?","¿Necesitas ayuda?","Yardıma mı ihtiyacınız var?"
"Questions about using the tool or its data ?","Vous avez des questions sur l'utilisation de l'outil ou ses données ? ","Questions about using the tool or its data ? ","Haben Sie Fragen zur Verwendung des Tools oder seiner Daten? ","Hai domande sull'utilizzo dello strumento o sui suoi dati? ","¿Tienes preguntas sobre el uso de la herramienta o sus datos? ","Aracın veya verilerinin kullanımıyla ilgili sorularınız mı var? "
"Come chat with us directly !","Venez discuter directement avec nous !","Come chat with us directly !","Chatten Sie direkt mit uns!","Vieni a chattare direttamente con noi!","¡Vengas a charlar con nosotros directamente!","Bizimle doğrudan sohbet edin!"
"You can also find this content at any time by clicking on the ""Help"" button in the menu on the left of your screen.","Vous pouvez également retrouver ce contenu à tout moment en cliquant sur le bouton ""Aide"" dans le menu en bas à gauche de votre écran.","You can also find this content at any time by clicking on the ""Help"" button in the menu on the left of your screen.","Sie können diesen Inhalt auch jederzeit aufrufen, indem Sie auf die Schaltfläche ""Hilfe"" im Menü auf der linken Seite Ihres Bildschirms klicken.","Puoi anche trovare questi contenuti in qualsiasi momento cliccando sul pulsante ""Aiuto"" nel menu a sinistra dello schermo.","También puedes encontrar este contenido en cualquier momento haciendo clic en el botón ""Ayuda"" del menú situado a la izquierda de la pantalla.","Bu içeriğe, ekranınızın sol tarafındaki menüden ""Yardım"" düğmesine tıklayarak da istediğiniz zaman ulaşabilirsiniz."
"Fields","Parcelles","Fields","Felder","Campi","Campos","Tarlalar"
"Exploitations","Exploitations","Exploitations","Betriebe","Sfruttamenti","Explotaciones","İşletmeler"
"Prospect more effectively: Establish a list of farms to target","Prospecter plus efficacement : établir une liste d'exploitations à cibler","Prospect more effectively: Establish a list of farms to target","Effektiver akquirieren:  Erstellen Sie eine Liste der zu akquirierenden Betriebe","Prospettare in modo più efficace:  stabilire un elenco di aziende agricole da contattare","Prospectar de forma más eficaz: establecer una lista de explotaciones agrícolas a las que dirigirme","Daha etkili bir şekilde potansiyel müşteriler bulun:  Hedef alınacak çiftliklerin bir listesini oluşturun"
"Prospect more effectively: Identify the municipalities to target as a priority","Prospecter plus efficacement : identifier les communes à cibler en priorité","Prospect more effectively: Identify the municipalities to target as a priority","Effektiver akquirieren:  Identifizieren Sie die Gemeinden, die Sie vorrangig ansprechen möchten","Prospettare in modo più efficace:  identificare i comuni da contattare in via prioritariaa","Prospectar de forma más eficaz: identificar los municipios a los que dirigirme de forma prioritaria","Daha etkili bir şekilde potansiyel müşteriler bulun:  Öncelikli olarak hedef alınacak belediyeleri belirleyin"
"Estimate the crop rotation","Estimer l'assolement","Estimate the crop rotation","Schätzen Sie die Fruchtfolge","Stimare la rotazione delle colture","Estimar la rotación de cultivos","Ekim dönüşümünü tahmin edin"
"Estimate a market","Estimer un marché","Estimate a market","Schätzen Sie einen Markt","Stimare un mercato","Estimar un mercado","Pazarı tahmin edin"
"Build and position my offer","Construire et positionner mon offre","Build and position my offer","Mein Angebot erstellen und positionieren","Costruisci e posiziona la tua offerta","Crear y posicionar mi oferta","Teklifimi oluşturun ve konumlandırın"
"Seize opportunities in season","Saisir les opportunités en saison","Seize opportunities in season","Chancen in der Saison nutzen","Cogli le opportunità di stagione","Aprovechar las oportunidades de la temporada","Sezonda fırsatları değerlendirin"
"Anticipate the volumes to be collected","Anticiper les volumes à collecter","Anticipate the volumes to be collected","Die zu erhebenden Mengen vorhersagen","Anticipa i volumi da raccogliere","Anticipar los volúmenes que se van a recolectar","Toplanacak hacimleri tahmin edin"
"Understand and adjust crop rotation estimates","Comprendre et ajuster les estimations de rotation des cultures","Understand and adjust crop rotation estimates","Die Schätzungen zur Fruchtfolge verstehen und anpassen","Comprendi e adatta le stime sulla rotazione delle colture","Comprender y ajustar las estimaciones de rotación de cultivos","Ekim dönüşümü tahminlerini anlayın ve ayarlayın"
"Optimize my commercial sectorization","Optimiser ma sectorisation commerciale","Optimize my commercial sectorization","Meine kommerzielle Sektorisierung optimieren","Ottimizza la tua settorizzazione commerciale","Optimizar mi sectorización comercial","Ticari sektörleşmemi optimize edin"
"Define my goals for the next campaign","Définir mes objectifs pour la prochaine campagne","Define my goals for the next campaign","Meine Ziele für die nächste Kampagne definieren","Definisci i tuoi obiettivi per la prossima campagna","Definir mis objetivos para la próxima campaña","Bir sonraki kampanya için hedeflerimi belirleyin"
"Presentation of the Territory Management module","Présentation du module gestion de territoires","Presentation of the Territory Management module","Vorstellung des Moduls „Gebietsverwaltung“","Presentazione del modulo Gestione del territorio","Presentación del módulo gestión del territorio.","Bölge Yönetimi modülünün tanıtımı"
"Presentation of the Chart module features","Présentation des fonctionnalités du module graphiques","Presentation of the Chart module features","Vorstellung der Funktionen des Moduls „Diagramm“","Presentazione delle funzionalità del modulo Grafico","Presentación de las funciones del módulo gráfico.","Grafik modülünün özelliklerinin tanıtımı"
"Presentation of the Table module features","Présentation des fonctionnalités du module tableaux","Presentation of the Table module features","Vorstellung der Funktionen des Moduls „Tabelle“","Presentazione delle funzionalità del modulo Tabella","Presentación de las funciones del módulo tabla.","Tablo modülünün özelliklerinin tanıtımı"
"Welcome to Hyperplan!","Bienvenue sur Hyperplan !","Welcome to Hyperplan!","Willkommen bei Hyperplan!","Benvenuto su Hyperplan!","¡Bienvenido en Hyperplan!","Hyperplan'a hoş geldiniz!"
"Where to start ?","Par où commencer ?","Where to start ?","Wo soll ich anfangen?","Da dove iniziare?","¿Por dónde empezar?","Nereden başlamalı?"
"Watch our various videos to learn more :","Regardez ces courtes vidéos pour aller plus loin","Watch our various videos to learn more :","Sehen Sie sich diese  kurzen Videos an, um mehr zu erfahren.","Guarda questi  brevi video per approfondire l'argomento","Vea estos  breves vídeos para profundizar más:","Daha fazla bilgi için bu kısa videoları izleyin."
"You will receive an email with exported data","Un email avec les données exportées vous a été envoyé !","An email with the exported data has been sent to you!","Eine E-Mail mit den exportierten Daten wurde Ihnen zugesandt!","Ti è stata inviata un'e-mail con i dati esportati!","¡Te le ha enviado un correo electrónico con los datos exportados!","Dışa aktarılan veriler içeren bir e-posta size gönderildi!"
"Please zoom in to see zones on the map","Merci de zoomer pour voir les zones sur la carte.","Please zoom in to see zones on the map","Bitte zoomen Sie heran, um die Zonen auf der Karte zu sehen.","Ingrandisci la mappa per vedere le zone.","Amplíes el mapa para ver las zonas.","Haritada bölgeleri görmek için lütfen yakınlaştırın."
Name of the,Nom des,Name of the,Name of the,Name of the,Name of the,Name of the
"Your function will define what we will offer you first in the app","Votre fonction déterminera ce que nous vous proposerons en premier dans l'application","Your function will define what we will offer you first in the app","Ihre Funktion bestimmt, was wir Ihnen in der App zuerst anbieten werden","La tua funzione definirà ciò che ti offriremo per primo nell'app","Tu función definirá lo que te ofreceremos primero en la aplicación","İşleviniz, uygulamada size ilk olarak sunacağımız içeriği belirleyecektir."
"We will offer you content about","Nous vous proposerons du contenu sur","We will offer you content about","Wir bieten Ihnen Inhalte zu folgenden Themen an","Ti offriremo contenuti su","Te ofreceremos contenido sobre","Size aşağıdaki konularda içerik sunacağız:"
"Prospection","Prospection","Prospection","Prospektion","Prospettiva","Prospección","Prospeksiyon"
"Market estimation","Estimation de marchés","Market estimation","Markteinschätzung","Stima di mercato","Estimación del mercado","Pazar tahmini"
"Budget & goals definition","Définition du budget et des objectifs","Budget & goals definition","Definition von Budget und Zielen","Definizione di budget e obiettivi","Definición del presupuesto y los objetivos","Bütçe ve hedeflerin belirlenmesi"
"all the possible use cases of Hyperplan","Tous les cas d'utilisation possibles d'Hyperplan","all the possible use cases of Hyperplan","alle möglichen Anwendungsfälle von Hyperplan","Tutti i possibili casi d'uso di Hyperplan","Todos los posibles casos de uso de Hyperplan","Hyperplan'ın tüm olası kullanım örnekleri"
"Crop surface estimation","Estimation de la surface cultivée","Crop surface estimation","Schätzung der Erntefläche","Stima della superficie coltivata","Estimación de la superficie de cultivo","Mahsul yüzey tahmini"
"Collected volume anticipation","Anticipation des volumes récoltés","Collected volume anticipation","Voraussichtliches Erntevolumen","Anticipazione del volume raccolto","Anticipación del volumen recolectado","Toplanan hacim tahmini"
"Prospection","Prospection"," Prospection","Prospektion","Prospettiva","Prospección","Prospeksiyon"
"Market estimation","Estimation du marché","Market estimation","Markteinschätzung","Stima di mercato","Estimación del mercado","Pazar tahmini"
"Crop failure risk","Risque d'échec culture","Crop failure risk","Risiko von Ernteausfällen","Rischio di perdita del raccolto","Riesgo de pérdida de cosechas","Mahsul kaybı riski"
"Presentation of the Exploration module features","Présentation des fonctionnalités du module Exploration","Presentation of the Exploration module features","Vorstellung der Funktionen des Moduls „Exploration“","resentazione delle caratteristiche del modulo Exploration","Presentación de las características del módulo Exploración","Keşif modülünün özelliklerinin tanıtımı"
"Hyperplan in 1 minute","Hyperplan en 1 minute","Hyperplan in 1 minute","Hyperplan in 1 Minute","Hyperplan in 1 minuto","Hyperplan en 1 minuto","Hyperplan 1 dakikada"
others,autres,others,andere,altri,otras,diğerleri
"You have got unsaved modifications","Vous avez des modifications non enregistrées.","You have got unsaved modifications","Sie haben ungespeicherte Änderungen.","Hai delle modifiche non salvate.","Tiene cambios sin guardar.","Kaydedilmemiş değişiklikleriniz var."
"What do you want to do ?","Que souhaitez-vous faire ?","What do you want to do ?","Was möchten Sie tun?","Cosa desideri fare?","¿Qué desea hacer?","Ne yapmak istersiniz?"
"Save changes and switch zone","Enregistrer les modifications et changer de zone","Save changes and switch zone","Änderungen speichern und Bereich wechseln","Salva le modifiche e cambia area","Guardar los cambios y cambiar de área","Değişiklikleri kaydedin ve alana geçin"
"Cancel changes and switch zone","Annuler les modifications et changer de zone","Cancel changes and switch zones","Änderungen verwerfen und Bereich wechseln","Annulla le modifiche e cambia area","Cancelar los cambios y cambiar de área","Değişiklikleri iptal edin ve alana geçin"
"Stay on this zone","Rester sur la zone","Stay on this zone","Im Bereich bleiben","Rimani nell'area","Permanecer en el área","Alanda kalın"
"of which","dont","of which","von denen","di cui","de los cuales","hangisinin"
"other","autre","other","Sonstiges","altro","Otro","diğer"
"Caracteristic edition","Modification d'une caractéristique","Caracteristic edition","Änderung eines Merkmals","Modifica di una caratteristica","Modificación de una característica","Bir özelliğin değiştirilmesi"
"prospect","prospect","prospect","prospekt","prospetto","prospecto","potansiyel müşteri"
"Show white zone","Mettre en évidence les zones non couvertes","Show white zone","Nicht abgedeckte Bereiche hervorheben","Evidenzia le aree non coperte","Resaltar las zonas no cubiertas","Kapsanmayan alanları vurgula"
"Hide white zone","Masquer les zones non couvertes","Hide white zone","Nicht abgedeckte Bereiche ausblenden","Nascondi le aree non coperte","Ocultar las zonas no cubiertas","Kapsanmayan alanları gizle"
"Add year","Ajouter une année","Add year","Ein Jahr hinzufügen","Aggiungi un anno","Añadir un año","Bir yıl ekle"
"Enable zone calculations","Calculer automatiquement le potentiel d'une zone","Enable zone calculations","Das Potenzial eines Bereichs automatisch berechnen","Calcola automaticamente il potenziale di un'area","Calcular automáticamente el potencial de una zona","Bir alanın potansiyelini otomatik olarak hesapla"
"On last year","Sur l'année dernière","On last year","Im letzten Jahr","Nell'ultimo anno","Sobre el último año","Geçen yıl"
"On last two years","Sur les deux dernières années","On last two years","In den letzten zwei Jahren","Negli ultimi due anni","Sobre los dos últimos años","Son iki yıl"
"On last three years","Sur les trois dernières années","On last three years","In den letzten drei Jahren","Negli ultimi tre anni","Sobre los tres últimos años","Son üç yıl"
"On last four years","Sur les quatre dernières années","On last four years","In den letzten vier Jahren","Negli ultimi quattro anni","Sobre los cuatro últimos años","Son dört yıl"
"On last five years","Sur les cinq dernières années","On last five years","In den letzten fünf Jahren","Negli ultimi cinque anni","Sobre los cinco últimos años","Son beş yıl"
"On last six years","Sur les six dernières années","On last six years","In den letzten sechs Jahren","Negli ultimi sei anni","Sobre los seis últimos años","Son altı yıl"
"On last seven years","Sur les sept dernières années","On last seven years","In den letzten sieben Jahren","Negli ultimi sette anni","Sobre los siete últimos años","Son yedi yıl"
"On last eight years","Sur les huit dernières années","On last eight years","In den letzten acht Jahren","Negli ultimi otto anni","Sobre los ocho últimos años","Son sekiz yıl"
"Other","Autre","Other","Sonstiges","Altro","Otro","Diğer"
"ASAPE connector is live","Le connecteur ASAPE est disponible !","ASAPE connector is live","Der ASAPE-Connector ist verfügbar!","Il connettore ASAPE è disponibile!","¡El conector ASAPE ya está disponible!","ASAPE konektörü kullanıma hazır!"
"If you are using ASAPE CRM, your CRM data is automatically updated on a weekly basis to better track sales performance against potential.","Si vous utilisez le CRM ASAPE, vos données CRM sont automatiquement mises à jour chaque semaine afin de faire un suivi commercial plus efficace par rapport au potentiel de votre territoire.","If you are using ASAPE CRM, your CRM data is automatically updated on a weekly basis to better track sales performance against potential.","Wenn Sie das CRM ASAPE verwenden, werden Ihre CRM-Daten wöchentlich automatisch aktualisiert, um eine effizientere Vertriebsnachverfolgung in Bezug auf das Potenzial Ihres Gebiets zu ermöglichen.","Se utilizzi il CRM ASAPE, i tuoi dati CRM vengono aggiornati automaticamente ogni settimana per consentire un monitoraggio commerciale più efficace rispetto al potenziale del tuo territorio.","Si utiliza el CRM ASAPE, sus datos CRM se actualizan automáticamente cada semana para realizar un seguimiento comercial más eficaz en función del potencial de su territorio.","ASAPE CRM'yi kullanıyorsanız, CRM verileriniz her hafta otomatik olarak güncellenir ve bölgenizin potansiyeline göre daha etkili bir ticari takip yapılabilir."
"New interface to perform operational actions based on Hyperplan data","Nouvelle interface : effectuez des actions opérationnelles à partir des données Hyperplan !","New interface to perform operational actions based on Hyperplan data","Neue Schnittstelle: Führen Sie operative Aktionen auf Basis der Hyperplan-Daten durch!","Nuova interfaccia: esegui azioni operative dai dati Hyperplan!","Nueva interfaz: ¡realice acciones operativas a partir de los datos de Hyperplan!","Yeni arayüz: Hyperplan verilerinden operasyonel işlemler gerçekleştirin!"
"All types of analysis can now be performed on Hyperplan data and displayed as maps, tables, or charts.","Tous les types d'analyses peuvent désormais être effectués sur les données Hyperplan et affichés sous forme de cartes, de tableaux ou de graphiques.","All types of analysis can now be performed on Hyperplan data and displayed as maps, tables, or charts.","Alle Arten von Analysen können nun anhand der Hyperplan-Daten durchgeführt und in Form von Karten, Tabellen oder Grafiken angezeigt werden.","Ora è possibile eseguire tutti i tipi di analisi sui dati Hyperplan e visualizzarli sotto forma di mappe, tabelle o grafici.","Ahora se pueden realizar todo tipo de análisis sobre los datos de Hyperplan y mostrarlos en forma de mapas, tablas o gráficos.","Artık tüm analiz türleri Hyperplan verileri üzerinde gerçekleştirilebilir ve harita, tablo veya grafik şeklinde görüntülenebilir."
"Prospection made easier thanks to farm filter","Prospection facilitée grâce au filtre des exploitations","Prospection made easier thanks to farm filter","Einfachere Kundenakquise dank Filter für landwirtschaftliche Betriebe","Prospezione facilitata grazie al filtro delle aziende agricole","Prospección facilitada gracias al filtro de explotaciones.","İşletme filtresi sayesinde kolay müşteri bulma"
"Farms can be targeted using criteria such as public subsidies, farm colors can be customized based on status (client, prospect) or any other criteria.","Les exploitations peuvent être ciblées à l'aide de critères tels que les aides PAC, et leurs couleurs peuvent être personnalisées en fonction de leur statut (client, prospect) ou de tout autre critère.","Farms can be targeted using criteria such as public subsidies, farm colors can be customized based on status (client, prospect) or any other criteria.","Landwirtschaftliche Betriebe können anhand von Kriterien wie GAP-Beihilfen gezielt ausgewählt werden, und ihre Farben können je nach Status (Kunde, Interessent) oder anderen Kriterien individuell angepasst werden.","Le aziende agricole possono essere selezionate in base a criteri quali gli aiuti PAC e i loro colori possono essere personalizzati in base al loro status (cliente, potenziale cliente) o a qualsiasi altro criterio.","Las explotaciones se pueden seleccionar utilizando criterios como las ayudas de la PAC, y sus colores se pueden personalizar en función de su estado (cliente, prospecto) o cualquier otro criterio.","İşletmeler, CAP yardımları gibi kriterler kullanılarak hedeflenebilir ve renkleri, statülerine (müşteri, potansiyel müşteri) veya başka herhangi bir kritere göre özelleştirilebilir."
"2-minute use-case videos to get the most out of Hyperplan","Tirez le meilleur parti d'Hyperplan avec des vidéos de 2 minutes par besoin","2-minute use-case videos to get the most out of Hyperplan","Nutzen Sie Hyperplan optimal mit 2-minütigen Videos für jeden Bedarf","Sfruttate al meglio Hyperplan con video di 2 minuti per ogni esigenza","Aproveche al máximo Hyperplan con vídeos de 2 minutos por necesidad.","İhtiyaçlarınıza göre 2 dakikalık videolarla Hyperplan'dan en iyi şekilde yararlanın"
"Short tutorial videos are available in the bottom-left corner of the screen and are tailored to the function selected when creating your account.","De courtes vidéos tutorielles sont disponibles dans le coin inférieur gauche de l'écran. Elles sont adaptées à la fonction que vous avez sélectionnée à la création de votre compte.","Short tutorial videos are available in the bottom-left corner of the screen and are tailored to the function selected when creating your account.","Kurze Tutorial-Videos finden Sie in der unteren linken Ecke des Bildschirms. Sie sind auf die Funktion abgestimmt, die Sie bei der Erstellung Ihres Kontos ausgewählt haben.","Nella parte inferiore sinistra dello schermo sono disponibili brevi video tutorial. Sono adattati alla funzione che hai selezionato al momento della creazione del tuo account.","En la esquina inferior izquierda de la pantalla hay disponibles breves vídeos tutoriales. Se adaptan a la función que haya seleccionado al crear su cuenta.","Ekranın sol alt köşesinde kısa eğitim videoları mevcuttur. Bu videolar, hesap oluştururken seçtiğiniz işleve göre uyarlanmıştır."
"Analyze your sectors using detailed farm data","Analysez vos secteurs à l'aide de données détaillées sur les exploitations agricoles !","Analyze your sectors using detailed farm data","Analysieren Sie Ihre Sektoren mit detaillierten Daten zu landwirtschaftlichen Betrieben!","Analizza i tuoi settori utilizzando dati dettagliati sulle aziende agricole!","¡Analice sus sectores con datos detallados sobre las explotaciones agrícolas!","Tarımsal işletmelerle ilgili ayrıntılı verilerle sektörlerinizi analiz edin!"
"In tables, you can now add columns showing the number of farms matching specific criteria (clients, public subsidies, sales above X EUR, etc.).","Dans les tableaux, vous pouvez désormais ajouter des colonnes indiquant le nombre d'exploitations correspondant à des critères spécifiques (clients, subventions publiques, ventes supérieures à X EUR, etc.).","In tables, you can now add columns showing the number of farms matching specific criteria (clients, public subsidies, sales above X EUR, etc.).","In den Tabellen können Sie nun Spalten hinzufügen, die die Anzahl der Betriebe angeben, die bestimmten Kriterien entsprechen (Kunden, öffentliche Subventionen, Umsatz über X EUR usw.).","Nelle tabelle è ora possibile aggiungere colonne che indicano il numero di aziende agricole corrispondenti a criteri specifici (clienti, sovvenzioni pubbliche, vendite superiori a X EUR, ecc.).","En las tablas, ahora puede añadir columnas que indiquen el número de explotaciones que cumplen criterios específicos (clientes, subvenciones públicas, ventas superiores a X EUR, etc.).","Tablolara artık belirli kriterlere (müşteriler, devlet sübvansiyonları, X EUR'dan fazla satışlar vb.) uyan işletme sayısını gösteren sütunlar ekleyebilirsiniz."
"Plan optimal sales agent routes","Planifiez des itinéraires optimaux pour vos commerciaux.","Plan optimal sales agent routes","Planen Sie optimale Routen für Ihre Vertriebsmitarbeiter.","Pianifica itinerari ottimali per i tuoi commerciali.","Planifique rutas óptimas para sus comerciales.","Satış temsilcileriniz için en uygun rotaları planlayın."
"Hyperplan can suggest the optimal sales tour based on farms potential and location, which can be exported to Google Maps.","Hyperplan peut suggérer une tournée de visites en ferme optimal en fonction du potentiel et de l'emplacement des exploitations, il pourrait être exporté sur GoogleMaps.","Hyperplan can suggest the optimal sales tour based on farms potential and location, could be exported in GoogleMaps.","Hyperplan kann eine optimale Route für Besuche auf landwirtschaftlichen Betrieben vorschlagen, die sich nach dem Potenzial und dem Standort der Betriebe richtet und in GoogleMaps exportiert werden kann.","Hyperplan può suggerire un tour ottimale di visite alle aziende agricole in base al potenziale e alla posizione delle aziende, che può essere esportato su GoogleMaps.","Hyperplan puede sugerir una ruta óptima de visitas a granjas en función del potencial y la ubicación de las explotaciones, que se puede exportar a Google Maps.","Hyperplan, işletmelerin potansiyeli ve konumuna göre en uygun çiftlik ziyaret turunu önerebilir ve bu tur GoogleMaps'e aktarılabilir."
"Push targeted prospect lists to sales agents","Etablir des listes de prospects ciblés pour les promoteurs","Push targeted prospect lists to sales agents","Erstellen Sie Listen mit potenziellen Kunden für Promoter.","Crea elenchi di potenziali clienti mirati per i promotori","Elabore listas de clientes potenciales específicos para los promotores.","Promotörler için hedef müşteri listeleri oluşturun"
"Based on prospect characteristics and agronomic events, targeted prospect lists could be automatically pushed to sales agents.","En fonction des caractéristiques des prospects et des événements agronomiques, des listes de prospects ciblés peuvent être automatiquement transmises aux promoteurs.","Based on prospect characteristics and agronomic events, targeted prospect lists could be automatically pushed to sales agents.","Je nach den Merkmalen der potenziellen Kunden und den agronomischen Ereignissen können Listen mit potenziellen Kunden automatisch an Promoter weitergeleitet werden.","In base alle caratteristiche dei potenziali clienti e agli eventi agronomici, è possibile trasmettere automaticamente agli promotori elenchi di potenziali clienti mirati.","En función de las características de los clientes potenciales y los eventos agronómicos, se pueden enviar automáticamente listas de clientes potenciales específicos a los promotores.","Potansiyel müşterilerin özelliklerine ve tarımsal olaylara göre, hedef müşteri listeleri otomatik olarak promotörlere iletilebilir."
"Easily track sales force performance","Monitorez plus facilement les performances de votre force de vente","Easily track sales force performance","Überwachen Sie die Leistung Ihres Vertriebsteams einfacher.","Monitorate più facilmente le prestazioni della vostra forza vendita.","Supervise más fácilmente el rendimiento de su fuerza de ventas.","Satış ekibinizin performansını daha kolay izleyin."
"Tools & KPIs to help you monitor your sales team’s performance throughout the campaign.","Des outils et des indicateurs clés de performance pourraient vous aider à suivre les performances de votre équipe commerciale tout au long de la campagne.","Tools & KPIs to help you monitor your sales team’s performance throughout the campaign.","Tools und Leistungskennzahlen können Ihnen dabei helfen, die Leistung Ihres Vertriebsteams während der gesamten Kampagne zu verfolgen.","Strumenti e indicatori chiave di prestazione potrebbero aiutarvi a monitorare le prestazioni del vostro team commerciale durante tutta la campagna.","Las herramientas y los indicadores clave de rendimiento pueden ayudarle a realizar un seguimiento del rendimiento de su equipo comercial a lo largo de la campaña.","Araçlar ve temel performans göstergeleri, kampanya boyunca satış ekibinizin performansını izlemenize yardımcı olabilir."
"Upload data directly into Hyperplan","Chargez vos données directement dans Hyperplan","Upload data directly into Hyperplan","Laden Sie Ihre Daten direkt in Hyperplan hoch.","Caricate i vostri dati direttamente in Hyperplan.","Cargue sus datos directamente en Hyperplan.","Verilerinizi doğrudan Hyperplan'a yükleyin."
